0001_tuebadz.conllup	T990507.2
0919_tuebadz.conllup	T990430.138
0920_tuebadz.conllup	T990430.139
0921_tuebadz.conllup	T990430.140
0922_tuebadz.conllup	T990430.141
0924_tuebadz.conllup	T990430.143
0926_tuebadz.conllup	T990430.147
0927_tuebadz.conllup	T990430.148
0929_tuebadz.conllup	T990430.150
0931_tuebadz.conllup	T990430.156
0932_tuebadz.conllup	T990430.157
0935_tuebadz.conllup	T990430.162
0937_tuebadz.conllup	T990430.167
0938_tuebadz.conllup	T990430.168
0939_tuebadz.conllup	T990430.169
0940_tuebadz.conllup	T990430.170
0941_tuebadz.conllup	T990430.171
0942_tuebadz.conllup	T990430.172
0943_tuebadz.conllup	T990430.174
0945_tuebadz.conllup	T990430.176
0946_tuebadz.conllup	T990430.177
0947_tuebadz.conllup	T990430.178
0948_tuebadz.conllup	T990430.180
0949_tuebadz.conllup	T990430.181
0950_tuebadz.conllup	T990430.182
0952_tuebadz.conllup	T990430.184
0953_tuebadz.conllup	T990430.185
0955_tuebadz.conllup	T990430.187
0956_tuebadz.conllup	T990430.188
0957_tuebadz.conllup	T990430.189
0959_tuebadz.conllup	T990430.192
0960_tuebadz.conllup	T990430.193
0961_tuebadz.conllup	T990430.194
0965_tuebadz.conllup	T990430.201
0966_tuebadz.conllup	T990430.202
0968_tuebadz.conllup	T990430.205
0969_tuebadz.conllup	T990430.207
0971_tuebadz.conllup	T990430.210
0972_tuebadz.conllup	T990430.211
0973_tuebadz.conllup	T990430.212
0974_tuebadz.conllup	T990430.213
0975_tuebadz.conllup	T990430.215
0976_tuebadz.conllup	T990430.216
0977_tuebadz.conllup	T990430.217
0978_tuebadz.conllup	T990430.218
0979_tuebadz.conllup	T990430.219
0981_tuebadz.conllup	T990430.221
0982_tuebadz.conllup	T990430.223
0983_tuebadz.conllup	T990430.224
0984_tuebadz.conllup	T990430.225
0985_tuebadz.conllup	T990430.226
0987_tuebadz.conllup	T990430.228
0988_tuebadz.conllup	T990430.229
0989_tuebadz.conllup	T990430.231
0990_tuebadz.conllup	T990430.232
0991_tuebadz.conllup	T990430.234
0992_tuebadz.conllup	T990430.235
0995_tuebadz.conllup	T990430.240
0996_tuebadz.conllup	T990430.241
0997_tuebadz.conllup	T990430.242
0998_tuebadz.conllup	T990430.244
0999_tuebadz.conllup	T990430.245
1000_tuebadz.conllup	T990430.246
1001_tuebadz.conllup	T990430.247
1002_tuebadz.conllup	T990430.248
1003_tuebadz.conllup	T990430.249
1005_tuebadz.conllup	T990430.252
1006_tuebadz.conllup	T990430.254
1007_tuebadz.conllup	T990430.255
1008_tuebadz.conllup	T990430.256
1009_tuebadz.conllup	T990430.257
1010_tuebadz.conllup	T990430.259
1012_tuebadz.conllup	T990430.261
1013_tuebadz.conllup	T990430.262
1015_tuebadz.conllup	T990430.264
1016_tuebadz.conllup	T990430.266
1018_tuebadz.conllup	T990430.268
1019_tuebadz.conllup	T990430.269
1020_tuebadz.conllup	T990430.270
1021_tuebadz.conllup	T990430.271
1022_tuebadz.conllup	T990430.272
1023_tuebadz.conllup	T990430.273
1025_tuebadz.conllup	T990430.279
1026_tuebadz.conllup	T990430.280
1027_tuebadz.conllup	T990430.281
1028_tuebadz.conllup	T990430.282
1029_tuebadz.conllup	T990430.283
1030_tuebadz.conllup	T990430.284
1031_tuebadz.conllup	T990430.285
1032_tuebadz.conllup	T990430.286
1034_tuebadz.conllup	T990430.288
1035_tuebadz.conllup	T990430.289
1037_tuebadz.conllup	T990430.291
1038_tuebadz.conllup	T990430.292
1039_tuebadz.conllup	T990430.293
1041_tuebadz.conllup	T920711.4
1042_tuebadz.conllup	T920711.6
1044_tuebadz.conllup	T920711.9
1045_tuebadz.conllup	T920711.11
1046_tuebadz.conllup	T920711.12
1047_tuebadz.conllup	T920711.13
1048_tuebadz.conllup	T920711.14
1049_tuebadz.conllup	T920711.15
1050_tuebadz.conllup	T920711.16
1051_tuebadz.conllup	T920711.17
1052_tuebadz.conllup	T920711.18
1053_tuebadz.conllup	T920711.19
1057_tuebadz.conllup	T920711.25
1058_tuebadz.conllup	T920711.26
1059_tuebadz.conllup	T920711.27
1060_tuebadz.conllup	T920711.28
1061_tuebadz.conllup	T920711.29
1062_tuebadz.conllup	T920711.30
1064_tuebadz.conllup	T920711.32
1065_tuebadz.conllup	T920711.33
1066_tuebadz.conllup	T920711.35
1067_tuebadz.conllup	T920711.36
1068_tuebadz.conllup	T920711.37
1070_tuebadz.conllup	T920711.39
1071_tuebadz.conllup	T920711.40
1072_tuebadz.conllup	T920711.41
1075_tuebadz.conllup	T920711.46
1076_tuebadz.conllup	T920711.47
1077_tuebadz.conllup	T920711.48
1079_tuebadz.conllup	T920711.50
1080_tuebadz.conllup	T920711.51
1081_tuebadz.conllup	T920711.52
1082_tuebadz.conllup	T920711.54
1083_tuebadz.conllup	T920711.55
1084_tuebadz.conllup	T920711.56
1085_tuebadz.conllup	T920711.57
1086_tuebadz.conllup	T920711.58
1087_tuebadz.conllup	T920711.59
1088_tuebadz.conllup	T920711.61
1089_tuebadz.conllup	T920711.62
1091_tuebadz.conllup	T920711.64
1092_tuebadz.conllup	T920711.65
1094_tuebadz.conllup	T920711.68
1095_tuebadz.conllup	T920711.69
1096_tuebadz.conllup	T920711.71
1098_tuebadz.conllup	T920711.76
1099_tuebadz.conllup	T920711.77
1100_tuebadz.conllup	T920711.78
1101_tuebadz.conllup	T920711.79
1103_tuebadz.conllup	T920711.82
1104_tuebadz.conllup	T920711.83
1105_tuebadz.conllup	T920711.84
1106_tuebadz.conllup	T920711.86
1107_tuebadz.conllup	T920711.88
1108_tuebadz.conllup	T920711.89
1109_tuebadz.conllup	T920711.90
1110_tuebadz.conllup	T920711.91
1111_tuebadz.conllup	T920711.92
1112_tuebadz.conllup	T920711.93
1113_tuebadz.conllup	T920711.94
1114_tuebadz.conllup	T920711.95
1115_tuebadz.conllup	T920711.96
1116_tuebadz.conllup	T920711.97
1117_tuebadz.conllup	T920711.99
1118_tuebadz.conllup	T920711.100
1119_tuebadz.conllup	T920711.104
1120_tuebadz.conllup	T920711.105
1121_tuebadz.conllup	T920711.106
1122_tuebadz.conllup	T920711.112
1124_tuebadz.conllup	T920711.115
1127_tuebadz.conllup	T920711.118
1128_tuebadz.conllup	T920711.119
1129_tuebadz.conllup	T920711.120
1130_tuebadz.conllup	T920711.121
1131_tuebadz.conllup	T920711.122
1132_tuebadz.conllup	T920711.123
1133_tuebadz.conllup	T920711.124
1135_tuebadz.conllup	T920711.128
1136_tuebadz.conllup	T920711.129
1137_tuebadz.conllup	T920711.134
1138_tuebadz.conllup	T920711.135
1139_tuebadz.conllup	T920711.137
1140_tuebadz.conllup	T920711.139
1141_tuebadz.conllup	T920711.145
1142_tuebadz.conllup	T920711.147
1145_tuebadz.conllup	T920711.153
1146_tuebadz.conllup	T920711.154
1147_tuebadz.conllup	T920711.155
1148_tuebadz.conllup	T920711.156
1149_tuebadz.conllup	T920711.157
1150_tuebadz.conllup	T920711.159
1151_tuebadz.conllup	T920711.160
1153_tuebadz.conllup	T920711.163
1155_tuebadz.conllup	T920711.165
1156_tuebadz.conllup	T920711.166
1157_tuebadz.conllup	T920711.167
1160_tuebadz.conllup	T920711.176
1161_tuebadz.conllup	T920711.177
1162_tuebadz.conllup	T920711.180
1163_tuebadz.conllup	T920711.182
1165_tuebadz.conllup	T920711.185
1166_tuebadz.conllup	T920711.187
1168_tuebadz.conllup	T920711.191
1169_tuebadz.conllup	T920711.192
1170_tuebadz.conllup	T920711.193
1171_tuebadz.conllup	T920711.194
1172_tuebadz.conllup	T920711.195
1173_tuebadz.conllup	T920711.198
1174_tuebadz.conllup	T920711.200
1175_tuebadz.conllup	T920711.201
1176_tuebadz.conllup	T920711.202
1177_tuebadz.conllup	T920711.203
1179_tuebadz.conllup	T920711.206
1180_tuebadz.conllup	T920711.207
1181_tuebadz.conllup	T920711.208
1182_tuebadz.conllup	T920711.209
1183_tuebadz.conllup	T920711.210
1184_tuebadz.conllup	T920711.211
1185_tuebadz.conllup	T920711.212
1187_tuebadz.conllup	T920711.214
1188_tuebadz.conllup	T920711.215
1189_tuebadz.conllup	T920710.1
1191_tuebadz.conllup	T920710.5
1193_tuebadz.conllup	T920710.7
1194_tuebadz.conllup	T920710.8
1195_tuebadz.conllup	T920710.9
1196_tuebadz.conllup	T920710.10
1197_tuebadz.conllup	T920710.16
1198_tuebadz.conllup	T920710.17
1200_tuebadz.conllup	T920710.19
1201_tuebadz.conllup	T920710.21
1202_tuebadz.conllup	T920710.22
1203_tuebadz.conllup	T920710.24
1204_tuebadz.conllup	T920710.25
1207_tuebadz.conllup	T920710.30
1208_tuebadz.conllup	T920710.31
1209_tuebadz.conllup	T920710.32
1210_tuebadz.conllup	T920710.33
1212_tuebadz.conllup	T920710.35
1213_tuebadz.conllup	T920710.36
1214_tuebadz.conllup	T920710.37
1216_tuebadz.conllup	T920710.39
1217_tuebadz.conllup	T920710.41
1219_tuebadz.conllup	T920710.43
1220_tuebadz.conllup	T920710.44
1223_tuebadz.conllup	T920710.47
1224_tuebadz.conllup	T920710.48
1225_tuebadz.conllup	T920710.49
1226_tuebadz.conllup	T920710.51
1227_tuebadz.conllup	T920710.52
1228_tuebadz.conllup	T920710.53
1229_tuebadz.conllup	T920710.54
1230_tuebadz.conllup	T920710.55
1231_tuebadz.conllup	T920710.56
1232_tuebadz.conllup	T920710.57
1233_tuebadz.conllup	T920710.58
1234_tuebadz.conllup	T920710.59
1235_tuebadz.conllup	T920710.60
1236_tuebadz.conllup	T920710.61
1237_tuebadz.conllup	T920710.62
1238_tuebadz.conllup	T920710.63
1239_tuebadz.conllup	T920710.64
1240_tuebadz.conllup	T920710.65
1241_tuebadz.conllup	T920710.66
1242_tuebadz.conllup	T920710.67
1243_tuebadz.conllup	T920710.68
1244_tuebadz.conllup	T920710.69
1245_tuebadz.conllup	T920710.71
1246_tuebadz.conllup	T920710.72
1247_tuebadz.conllup	T920710.75
1248_tuebadz.conllup	T920710.76
1249_tuebadz.conllup	T920710.77
1250_tuebadz.conllup	T920710.78
1251_tuebadz.conllup	T920710.79
1254_tuebadz.conllup	T920710.84
1255_tuebadz.conllup	T920710.85
1257_tuebadz.conllup	T920710.88
1258_tuebadz.conllup	T920710.91
1259_tuebadz.conllup	T920710.92
1260_tuebadz.conllup	T920710.93
1261_tuebadz.conllup	T920710.94
1263_tuebadz.conllup	T920710.96
1264_tuebadz.conllup	T920710.97
1265_tuebadz.conllup	T920710.99
1266_tuebadz.conllup	T920710.100
1267_tuebadz.conllup	T920710.101
1270_tuebadz.conllup	T920710.105
1271_tuebadz.conllup	T920710.106
1272_tuebadz.conllup	T920710.107
1274_tuebadz.conllup	T920710.109
1275_tuebadz.conllup	T920710.110
1276_tuebadz.conllup	T920710.111
1277_tuebadz.conllup	T920710.112
1279_tuebadz.conllup	T920710.114
1280_tuebadz.conllup	T920710.115
1281_tuebadz.conllup	T920710.116
1282_tuebadz.conllup	T920710.117
1283_tuebadz.conllup	T920710.118
1285_tuebadz.conllup	T920710.121
1286_tuebadz.conllup	T920710.133
1287_tuebadz.conllup	T920710.136
1288_tuebadz.conllup	T920710.137
1289_tuebadz.conllup	T920710.138
1291_tuebadz.conllup	T920710.140
1293_tuebadz.conllup	T920710.142
1294_tuebadz.conllup	T920710.143
1295_tuebadz.conllup	T920710.144
1299_tuebadz.conllup	T920710.148
1300_tuebadz.conllup	T920710.149
1301_tuebadz.conllup	T920710.150
1302_tuebadz.conllup	T920710.151
1303_tuebadz.conllup	T920710.152
1304_tuebadz.conllup	T920710.153
1305_tuebadz.conllup	T920710.154
1306_tuebadz.conllup	T920710.155
1307_tuebadz.conllup	T920710.159
1308_tuebadz.conllup	T920710.161
1309_tuebadz.conllup	T920710.162
1310_tuebadz.conllup	T920710.163
1311_tuebadz.conllup	T920710.164
1312_tuebadz.conllup	T920710.165
1313_tuebadz.conllup	T920710.166
1314_tuebadz.conllup	T920710.167
1316_tuebadz.conllup	T920710.169
1318_tuebadz.conllup	T920710.171
1319_tuebadz.conllup	T920710.173
1320_tuebadz.conllup	T920710.174
1321_tuebadz.conllup	T920710.176
1323_tuebadz.conllup	T920710.179
1324_tuebadz.conllup	T920710.180
1325_tuebadz.conllup	T920710.181
1327_tuebadz.conllup	T920710.183
1328_tuebadz.conllup	T920710.184
1329_tuebadz.conllup	T920710.185
1330_tuebadz.conllup	T920710.186
1331_tuebadz.conllup	T920710.187
1333_tuebadz.conllup	T920710.189
1334_tuebadz.conllup	T920710.190
1335_tuebadz.conllup	T920710.191
1337_tuebadz.conllup	T920710.193
1338_tuebadz.conllup	T920710.195
1339_tuebadz.conllup	T920710.196
1340_tuebadz.conllup	T920710.197
1341_tuebadz.conllup	T920710.198
1342_tuebadz.conllup	T920710.199
1344_tuebadz.conllup	T920710.202
1345_tuebadz.conllup	T920710.203
1346_tuebadz.conllup	T920710.210
1347_tuebadz.conllup	T920710.212
1348_tuebadz.conllup	T920710.214
1349_tuebadz.conllup	T920710.215
1350_tuebadz.conllup	T920710.216
1351_tuebadz.conllup	T920710.221
1352_tuebadz.conllup	T920710.222
1353_tuebadz.conllup	T920710.223
1354_tuebadz.conllup	T920710.224
1355_tuebadz.conllup	T920710.225
1356_tuebadz.conllup	T920710.226
1357_tuebadz.conllup	T920710.227
1358_tuebadz.conllup	T920710.228
1359_tuebadz.conllup	T920710.229
1360_tuebadz.conllup	T920710.230
1362_tuebadz.conllup	T920710.232
1363_tuebadz.conllup	T920710.233
1364_tuebadz.conllup	T920710.234
1365_tuebadz.conllup	T920710.235
1366_tuebadz.conllup	T920710.236
1367_tuebadz.conllup	T920710.237
1368_tuebadz.conllup	T920710.238
1369_tuebadz.conllup	T920710.239
1371_tuebadz.conllup	T920710.241
1372_tuebadz.conllup	T920710.242
1374_tuebadz.conllup	T920710.244
1375_tuebadz.conllup	T920710.245
1376_tuebadz.conllup	T920710.246
1378_tuebadz.conllup	T920710.248
1379_tuebadz.conllup	T920710.249
1380_tuebadz.conllup	T920710.250
1381_tuebadz.conllup	T920710.251
1382_tuebadz.conllup	T920710.252
1383_tuebadz.conllup	T920710.253
1384_tuebadz.conllup	T920710.254
1385_tuebadz.conllup	T920710.255
1386_tuebadz.conllup	T920710.256
1387_tuebadz.conllup	T920710.257
1388_tuebadz.conllup	T920713.1
1390_tuebadz.conllup	T920713.3
1391_tuebadz.conllup	T920713.4
1392_tuebadz.conllup	T920713.5
1393_tuebadz.conllup	T920713.6
1395_tuebadz.conllup	T920713.14
1396_tuebadz.conllup	T920713.15
1398_tuebadz.conllup	T920713.17
1399_tuebadz.conllup	T920713.18
1400_tuebadz.conllup	T920713.19
1402_tuebadz.conllup	T920713.21
1405_tuebadz.conllup	T920713.25
1406_tuebadz.conllup	T920713.27
1409_tuebadz.conllup	T920713.30
1412_tuebadz.conllup	T920713.34
1413_tuebadz.conllup	T920713.36
1414_tuebadz.conllup	T920713.37
1415_tuebadz.conllup	T920713.39
1416_tuebadz.conllup	T920713.40
1417_tuebadz.conllup	T920713.41
1418_tuebadz.conllup	T920713.42
1419_tuebadz.conllup	T920713.43
1420_tuebadz.conllup	T920713.45
1421_tuebadz.conllup	T920713.46
1422_tuebadz.conllup	T920713.47
1424_tuebadz.conllup	T920713.49
1425_tuebadz.conllup	T920713.50
1426_tuebadz.conllup	T920713.52
1427_tuebadz.conllup	T920713.53
1429_tuebadz.conllup	T920713.55
1430_tuebadz.conllup	T920713.56
1431_tuebadz.conllup	T920713.57
1432_tuebadz.conllup	T920713.58
1433_tuebadz.conllup	T920713.60
1434_tuebadz.conllup	T920713.61
1436_tuebadz.conllup	T920713.63
1437_tuebadz.conllup	T920713.65
1438_tuebadz.conllup	T920713.67
1439_tuebadz.conllup	T920713.68
1440_tuebadz.conllup	T920713.70
1442_tuebadz.conllup	T920713.73
1443_tuebadz.conllup	T920713.74
1444_tuebadz.conllup	T920713.75
1445_tuebadz.conllup	T920713.76
1447_tuebadz.conllup	T920713.79
1448_tuebadz.conllup	T920713.81
1450_tuebadz.conllup	T920713.83
1451_tuebadz.conllup	T920713.84
1452_tuebadz.conllup	T920713.86
1454_tuebadz.conllup	T920713.88
1455_tuebadz.conllup	T920713.89
1456_tuebadz.conllup	T920713.90
1457_tuebadz.conllup	T920713.92
1458_tuebadz.conllup	T920713.93
1459_tuebadz.conllup	T920713.94
1462_tuebadz.conllup	T920713.97
1463_tuebadz.conllup	T920713.98
1464_tuebadz.conllup	T920713.99
1465_tuebadz.conllup	T920713.100
1467_tuebadz.conllup	T920713.102
1468_tuebadz.conllup	T920713.111
1469_tuebadz.conllup	T920713.112
1472_tuebadz.conllup	T920713.116
1473_tuebadz.conllup	T920713.117
1474_tuebadz.conllup	T920713.118
1476_tuebadz.conllup	T920713.120
1477_tuebadz.conllup	T920713.122
1478_tuebadz.conllup	T920713.123
1479_tuebadz.conllup	T920713.125
1480_tuebadz.conllup	T920713.127
1481_tuebadz.conllup	T920713.128
1482_tuebadz.conllup	T920713.129
1483_tuebadz.conllup	T920713.130
1484_tuebadz.conllup	T920713.131
1485_tuebadz.conllup	T920713.132
1486_tuebadz.conllup	T920713.133
1487_tuebadz.conllup	T920713.134
1488_tuebadz.conllup	T920713.135
1490_tuebadz.conllup	T920713.143
1492_tuebadz.conllup	T920713.145
1493_tuebadz.conllup	T920713.146
1494_tuebadz.conllup	T920713.147
1495_tuebadz.conllup	T920713.148
1496_tuebadz.conllup	T920713.149
1497_tuebadz.conllup	T920713.150
1499_tuebadz.conllup	T920713.154
1502_tuebadz.conllup	T920713.157
1503_tuebadz.conllup	T920713.158
1504_tuebadz.conllup	T920713.159
1506_tuebadz.conllup	T920713.161
1507_tuebadz.conllup	T920713.162
1508_tuebadz.conllup	T920713.163
1510_tuebadz.conllup	T920713.171
1512_tuebadz.conllup	T920713.173
1513_tuebadz.conllup	T920713.174
1514_tuebadz.conllup	T920714.1
1515_tuebadz.conllup	T920714.2
1516_tuebadz.conllup	T920714.3
1520_tuebadz.conllup	T920714.14
1522_tuebadz.conllup	T920714.16
1524_tuebadz.conllup	T920714.18
1525_tuebadz.conllup	T920714.19
1526_tuebadz.conllup	T920714.20
1528_tuebadz.conllup	T920714.22
1529_tuebadz.conllup	T920714.25
1530_tuebadz.conllup	T920714.26
1531_tuebadz.conllup	T920714.27
1532_tuebadz.conllup	T920714.28
1534_tuebadz.conllup	T920714.31
1535_tuebadz.conllup	T920714.33
1536_tuebadz.conllup	T920714.34
1537_tuebadz.conllup	T920714.35
1538_tuebadz.conllup	T920714.36
1540_tuebadz.conllup	T920714.38
1541_tuebadz.conllup	T920714.39
1542_tuebadz.conllup	T920714.42
1544_tuebadz.conllup	T920714.46
1545_tuebadz.conllup	T920714.47
1546_tuebadz.conllup	T920714.48
1547_tuebadz.conllup	T920714.49
1548_tuebadz.conllup	T920714.50
1549_tuebadz.conllup	T920714.51
1550_tuebadz.conllup	T920714.52
1551_tuebadz.conllup	T920714.54
1552_tuebadz.conllup	T920714.55
1554_tuebadz.conllup	T920714.57
1555_tuebadz.conllup	T920714.58
1556_tuebadz.conllup	T920714.59
1558_tuebadz.conllup	T920714.62
1559_tuebadz.conllup	T920714.63
1560_tuebadz.conllup	T920714.64
1561_tuebadz.conllup	T920714.65
1562_tuebadz.conllup	T920714.66
1563_tuebadz.conllup	T920714.67
1564_tuebadz.conllup	T920714.68
1565_tuebadz.conllup	T920714.71
1566_tuebadz.conllup	T920714.72
1568_tuebadz.conllup	T920714.74
1570_tuebadz.conllup	T920714.76
1571_tuebadz.conllup	T920714.77
1572_tuebadz.conllup	T920714.78
1573_tuebadz.conllup	T920714.80
1574_tuebadz.conllup	T920714.82
1576_tuebadz.conllup	T920714.85
1577_tuebadz.conllup	T920714.86
1578_tuebadz.conllup	T920714.87
1580_tuebadz.conllup	T920714.89
1581_tuebadz.conllup	T920714.90
1582_tuebadz.conllup	T920714.91
1583_tuebadz.conllup	T920714.92
1584_tuebadz.conllup	T920714.93
1585_tuebadz.conllup	T920714.95
1586_tuebadz.conllup	T920714.96
1587_tuebadz.conllup	T920714.98
1588_tuebadz.conllup	T920714.99
1589_tuebadz.conllup	T920714.100
1592_tuebadz.conllup	T920714.103
1593_tuebadz.conllup	T920714.104
1595_tuebadz.conllup	T920714.106
1597_tuebadz.conllup	T920714.108
1598_tuebadz.conllup	T920714.109
1599_tuebadz.conllup	T920714.110
1600_tuebadz.conllup	T920714.111
1602_tuebadz.conllup	T920714.113
1604_tuebadz.conllup	T920714.115
1605_tuebadz.conllup	T920714.116
1606_tuebadz.conllup	T920714.118
1607_tuebadz.conllup	T920714.119
1608_tuebadz.conllup	T920714.122
1609_tuebadz.conllup	T920714.142
1611_tuebadz.conllup	T920714.144
1613_tuebadz.conllup	T920714.146
1614_tuebadz.conllup	T920714.147
1615_tuebadz.conllup	T920714.151
1616_tuebadz.conllup	T920714.152
1617_tuebadz.conllup	T920714.153
1618_tuebadz.conllup	T920714.154
1619_tuebadz.conllup	T920714.155
1620_tuebadz.conllup	T920714.156
1622_tuebadz.conllup	T920714.158
1624_tuebadz.conllup	T920714.160
1625_tuebadz.conllup	T920714.163
1627_tuebadz.conllup	T920714.169
1629_tuebadz.conllup	T920714.171
1631_tuebadz.conllup	T920714.174
1632_tuebadz.conllup	T920714.175
1633_tuebadz.conllup	T920714.177
1634_tuebadz.conllup	T920714.178
1635_tuebadz.conllup	T920714.179
1636_tuebadz.conllup	T920714.180
1637_tuebadz.conllup	T920714.181
1638_tuebadz.conllup	T920714.182
1639_tuebadz.conllup	T920714.184
1640_tuebadz.conllup	T920714.185
1642_tuebadz.conllup	T920714.187
1643_tuebadz.conllup	T920714.188
1644_tuebadz.conllup	T920714.189
1645_tuebadz.conllup	T920714.190
1646_tuebadz.conllup	T920714.191
1647_tuebadz.conllup	T920714.192
1648_tuebadz.conllup	T920714.194
1649_tuebadz.conllup	T920714.196
1650_tuebadz.conllup	T920714.197
1651_tuebadz.conllup	T920714.199
1652_tuebadz.conllup	T920714.200
1653_tuebadz.conllup	T920714.201
1656_tuebadz.conllup	T920714.204
1657_tuebadz.conllup	T920714.205
1658_tuebadz.conllup	T920714.207
1659_tuebadz.conllup	T920714.208
1660_tuebadz.conllup	T920714.209
1661_tuebadz.conllup	T920714.210
1664_tuebadz.conllup	T920714.213
1665_tuebadz.conllup	T920714.214
1666_tuebadz.conllup	T920714.215
1667_tuebadz.conllup	T920714.219
1668_tuebadz.conllup	T920714.220
1670_tuebadz.conllup	T920714.222
1671_tuebadz.conllup	T920714.223
1672_tuebadz.conllup	T951014.3
1673_tuebadz.conllup	T951014.4
1674_tuebadz.conllup	T951014.8
1675_tuebadz.conllup	T951014.12
1677_tuebadz.conllup	T951014.14
1678_tuebadz.conllup	T951014.15
1679_tuebadz.conllup	T951014.16
1680_tuebadz.conllup	T951014.17
1681_tuebadz.conllup	T951014.18
1683_tuebadz.conllup	T951014.22
1684_tuebadz.conllup	T951014.23
1685_tuebadz.conllup	T951014.24
1686_tuebadz.conllup	T951014.27
1688_tuebadz.conllup	T951014.31
1689_tuebadz.conllup	T951014.34
1691_tuebadz.conllup	T951014.38
1692_tuebadz.conllup	T951014.39
1693_tuebadz.conllup	T951014.42
1694_tuebadz.conllup	T951014.43
1695_tuebadz.conllup	T951014.45
1696_tuebadz.conllup	T951014.46
1697_tuebadz.conllup	T951014.48
1698_tuebadz.conllup	T951014.49
1699_tuebadz.conllup	T951014.52
1702_tuebadz.conllup	T951014.57
1703_tuebadz.conllup	T951014.59
1705_tuebadz.conllup	T951014.61
1706_tuebadz.conllup	T951014.64
1707_tuebadz.conllup	T951014.65
1708_tuebadz.conllup	T951014.66
1709_tuebadz.conllup	T951014.69
1711_tuebadz.conllup	T951014.71
1712_tuebadz.conllup	T951014.72
1714_tuebadz.conllup	T951014.74
1715_tuebadz.conllup	T951014.75
1717_tuebadz.conllup	T951014.81
1718_tuebadz.conllup	T951014.82
1721_tuebadz.conllup	T951014.85
1722_tuebadz.conllup	T951014.86
1724_tuebadz.conllup	T951014.90
1725_tuebadz.conllup	T951014.91
1726_tuebadz.conllup	T951014.92
1727_tuebadz.conllup	T951014.93
1728_tuebadz.conllup	T951014.95
1729_tuebadz.conllup	T951014.96
1730_tuebadz.conllup	T951014.100
1731_tuebadz.conllup	T951014.105
1732_tuebadz.conllup	T951014.106
1733_tuebadz.conllup	T951014.107
1734_tuebadz.conllup	T951014.108
1735_tuebadz.conllup	T951014.109
1736_tuebadz.conllup	T951014.110
1737_tuebadz.conllup	T951014.111
1738_tuebadz.conllup	T951014.112
1739_tuebadz.conllup	T951014.124
1740_tuebadz.conllup	T951014.134
1741_tuebadz.conllup	T951014.135
1742_tuebadz.conllup	T951014.141
1743_tuebadz.conllup	T951014.142
1744_tuebadz.conllup	T951014.144
1745_tuebadz.conllup	T951014.146
1746_tuebadz.conllup	T951014.150
1747_tuebadz.conllup	T951014.152
1748_tuebadz.conllup	T951014.155
1749_tuebadz.conllup	T951014.156
1750_tuebadz.conllup	T951014.160
1751_tuebadz.conllup	T951014.164
1753_tuebadz.conllup	T951014.166
1754_tuebadz.conllup	T951014.167
1755_tuebadz.conllup	T951014.168
1758_tuebadz.conllup	T951014.171
1759_tuebadz.conllup	T951014.173
1760_tuebadz.conllup	T951014.176
1761_tuebadz.conllup	T951014.177
1762_tuebadz.conllup	T951014.178
1763_tuebadz.conllup	T951014.179
1764_tuebadz.conllup	T951014.180
1765_tuebadz.conllup	T951014.182
1766_tuebadz.conllup	T951014.183
1767_tuebadz.conllup	T951014.184
1768_tuebadz.conllup	T951014.186
1769_tuebadz.conllup	T951014.188
1770_tuebadz.conllup	T951014.189
1771_tuebadz.conllup	T951014.190
1772_tuebadz.conllup	T951014.191
1773_tuebadz.conllup	T951014.192
1774_tuebadz.conllup	T951014.193
1776_tuebadz.conllup	T951014.195
1777_tuebadz.conllup	T951014.197
1778_tuebadz.conllup	T951014.201
1779_tuebadz.conllup	T951014.206
1780_tuebadz.conllup	T951014.207
1781_tuebadz.conllup	T951014.208
1783_tuebadz.conllup	T951014.212
1784_tuebadz.conllup	T951014.216
1785_tuebadz.conllup	T951014.217
1786_tuebadz.conllup	T951014.218
1787_tuebadz.conllup	T951014.220
1788_tuebadz.conllup	T951014.223
1791_tuebadz.conllup	T951014.227
1794_tuebadz.conllup	T951014.231
1796_tuebadz.conllup	T951014.257
1797_tuebadz.conllup	T951014.259
1798_tuebadz.conllup	T951014.264
1801_tuebadz.conllup	T951014.271
1802_tuebadz.conllup	T951014.282
1803_tuebadz.conllup	T951014.286
1804_tuebadz.conllup	T951014.287
1806_tuebadz.conllup	T951014.295
1807_tuebadz.conllup	T951014.296
1808_tuebadz.conllup	T951014.297
1809_tuebadz.conllup	T951014.304
1810_tuebadz.conllup	T951014.306
1811_tuebadz.conllup	T951014.307
1812_tuebadz.conllup	T951014.308
1813_tuebadz.conllup	T951014.309
1815_tuebadz.conllup	T951014.312
1817_tuebadz.conllup	T951014.315
1818_tuebadz.conllup	T951014.316
1819_tuebadz.conllup	T951014.317
1820_tuebadz.conllup	T951014.318
1821_tuebadz.conllup	T951014.319
1823_tuebadz.conllup	T951014.329
1825_tuebadz.conllup	T951014.331
1826_tuebadz.conllup	T951014.332
1828_tuebadz.conllup	T951014.334
1829_tuebadz.conllup	T951014.335
1830_tuebadz.conllup	T951014.336
1831_tuebadz.conllup	T951014.337
1832_tuebadz.conllup	T951014.338
1833_tuebadz.conllup	T951014.340
1834_tuebadz.conllup	T951014.341
1835_tuebadz.conllup	T951014.343
1836_tuebadz.conllup	T951014.344
1838_tuebadz.conllup	T951014.346
1839_tuebadz.conllup	T951014.347
1841_tuebadz.conllup	T951014.349
